Opened,Name,City,State,City,Address
4/20/2017,Speedway - I-465 & Crawfordsville,Indianapolis,Indiana,Indianapolis,"Speedway - I-465 & Crawfordsville, Indianapolis, Indiana"
4/20/2017,Pacific Ave and 166th,Spanaway,Washington,Tacoma,"Pacific Ave and 166th, Spanaway, Washington"
4/19/2017,31st and Park,New York,NewYork,NewYorkCity,"31st and Park, New York, NewYork"
4/18/2017,Closter - 79 VerValen St,Closter,NewJersey,,"Closter - 79 VerValen St, Closter, NewJersey"
4/14/2017,7433 Miami Lakes Dr.,Miami Lakes,Florida,Miami,"7433 Miami Lakes Dr., Miami Lakes, Florida"
4/13/2017,Dave Ward & Donaghey - Conway,Conway,Arkansas,,"Dave Ward & Donaghey - Conway, Conway, Arkansas"
4/11/2017,Marriott Ohua exterior,Honolulu,Hawaii,Oahu,"Marriott Ohua exterior, Honolulu, Hawaii"
4/11/2017,Main & Jamacha,El Cajon,California,SanDiego,"Main & Jamacha, El Cajon, California"
4/10/2017,Hwy 180 & Oakridge,Hudson Oaks,Texas,DallasFortWorth,"Hwy 180 & Oakridge, Hudson Oaks, Texas"
4/8/2017,"Commack Rd., Henry St.",Commack,NewYork,LongIsland,"Commack Rd., Henry St., Commack, NewYork"
4/7/2017,Flatwoods Factory Stores,Sutton,WestVirginia,,"Flatwoods Factory Stores, Sutton, WestVirginia"
4/7/2017,Hanbury Rd,Chesapeake,Virginia,ChesapeakeBayRegion,"Hanbury Rd, Chesapeake, Virginia"
4/7/2017,Patton Ave and Florida Ave,Asheville,NorthCarolina,Asheville,"Patton Ave and Florida Ave, Asheville, NorthCarolina"
4/7/2017,Springhouse Village,Springhouse,Pennsylvania,Philadelphia,"Springhouse Village, Springhouse, Pennsylvania"
4/6/2017,Fair Oaks & Howe,Sacramento,California,Sacramento,"Fair Oaks & Howe, Sacramento, California"
4/6/2017,Southern Ave. & San Jose Ave.,Mesa,Arizona,Phoenix,"Southern Ave. & San Jose Ave., Mesa, Arizona"
4/6/2017,Newhall Ranch & Bouquet Canyon,Santa Clarita,California,SantaClarita,"Newhall Ranch & Bouquet Canyon, Santa Clarita, California"
4/6/2017,The Park at Wrigley,Chicago,Illinois,Chicagoland,"The Park at Wrigley, Chicago, Illinois"
4/3/2017,183 & Roaring Springs,Fort Worth,Texas,DallasFortWorth,"183 & Roaring Springs, Fort Worth, Texas"
4/3/2017,Citrus & Perris,Perris,California,RiversideSanBernardinoCounty,"Citrus & Perris, Perris, California"
3/31/2017,95th and Antioch,Overland Park,Kansas,KansasCityKansas,"95th and Antioch, Overland Park, Kansas"
3/31/2017,"Canton, Cleveland Ave",Canton,Ohio,Akron,"Canton, Cleveland Ave, Canton, Ohio"
3/31/2017,Ruby & Sharp - Spokane,Spokane,Washington,Spokane,"Ruby & Sharp - Spokane, Spokane, Washington"
3/31/2017,Riverdale Park,Riverdale Park,Maryland,WashingtonDCArea,"Riverdale Park, Riverdale Park, Maryland"
3/30/2017,Harvest Pointe,Edmonton,Alberta,Edmonton,"Harvest Pointe, Edmonton, Alberta"
3/30/2017,205 Church St - Salem,Salem,Oregon,WestCentralOregon,"205 Church St - Salem, Salem, Oregon"
3/30/2017,Highway 34 & Sharpsburg Road,Newnan,Georgia,Atlanta,"Highway 34 & Sharpsburg Road, Newnan, Georgia"
3/30/2017,Bellflower Blvd & Imperial,Downey,California,LosAngeles,"Bellflower Blvd & Imperial, Downey, California"
3/30/2017,Milford SR 28 II,Milford,Ohio,Cincinnati,"Milford SR 28 II, Milford, Ohio"
3/30/2017,Sunshine and Mayfair - Springfield,Springfield,Missouri,Springfield,"Sunshine and Mayfair - Springfield, Springfield, Missouri"
3/30/2017,Telegraph & Carmenita,Santa Fe Springs,California,LosAngeles,"Telegraph & Carmenita, Santa Fe Springs, California"
3/29/2017,Carrier Pkwy & Westchase,Grand Prarie,Texas,DallasFortWorth,"Carrier Pkwy & Westchase, Grand Prarie, Texas"
3/26/2017,Stan Schlueter & Fort Hood,Killeen,Texas,RemoteMarkets,"Stan Schlueter & Fort Hood, Killeen, Texas"
3/26/2017,"Scarsdale, Wilmot Road",Scarsdale,NewYork,WestchesterCounty,"Scarsdale, Wilmot Road, Scarsdale, NewYork"
3/25/2017,David & Forest,Pacific Grove,California,CentralCoast,"David & Forest, Pacific Grove, California"
3/24/2017,Dixie Hwy & Stockton Station Ln,Fairfield,Ohio,Cincinnati,"Dixie Hwy & Stockton Station Ln, Fairfield, Ohio"
