,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
98,GEOMETRIC_CENTER,"Lee Hwy & Pinnacle Pkwy, Bristol, TN 37620, USA",Ei9MZWUgSHd5ICYgUGlubmFjbGUgUGt3eSwgQnJpc3RvbCwgVE4gMzc2MjAsIFVTQQ,"Hwy 11 and Pinnacle, Bristol, Tennessee",36.5891283,-82.26569529999999,1,37620,OK,intersection
99,ROOFTOP,"10500 Sea World Dr, San Antonio, TX 78251, USA",ChIJc9c70gFDXIYRg4DL5vVh4Xo,"Antonio & Ortega, Rancho Mission Viejo, California",29.455705,-98.70026999999999,1,78251,OK,"amusement_park,aquarium,establishment,point_of_interest"
100,,,,"Highland & Boulder, Highland, California",,,0,,ZERO_RESULTS,
101,GEOMETRIC_CENTER,"Clint Moore Rd, Boca Raton, FL, USA",ChIJBxB9fv8e2YgR1Ir9urw0AhI,"Clint Moore Rd & Military Trl, Boca Raton, Florida",26.4079995,-80.14689949999999,1,,OK,route
102,APPROXIMATE,"Whittier, CA, USA",ChIJ94d6VYbTwoARWiRAwUd9qCc,"Whittier & Michigan, Whittier, California",33.9791793,-118.032844,1,,OK,"locality,political"
103,GEOMETRIC_CENTER,"40th, Iowa, USA",ChIJh_STPwBy6YcRe4KGQ_Ie6h0,"40th & Broadway, New York, NewYork",40.74313799999999,-93.499184,10,,OK,route
104,GEOMETRIC_CENTER,"North Green Spring Drive & W Red Cliffs Dr, Washington, UT 84780, USA",EkVOb3J0aCBHcmVlbiBTcHJpbmcgRHJpdmUgJiBXIFJlZCBDbGlmZnMgRHIsIFdhc2hpbmd0b24sIFVUIDg0NzgwLCBVU0E,"Green Springs Dr and Red Cliffs Dr, Washington, Utah",37.1271294,-113.5237783,1,84780,OK,intersection
105,GEOMETRIC_CENTER,"Main St & 16th St, Windsor, CO 80550, USA",EilNYWluIFN0ICYgMTZ0aCBTdCwgV2luZHNvciwgQ08gODA1NTAsIFVTQQ,"Windsor - 16th and Main, Windsor, Colorado",40.4793731,-104.930862,1,80550,OK,intersection
106,GEOMETRIC_CENTER,"Path Plaza, Jersey City, NJ 07306, USA",ChIJ77rFZDFXwokRuLHtquEFrLI,"Journal Square - Path Plaza, Jersey City, NewJersey",40.7324797,-74.063411,1,07306,OK,route
107,ROOFTOP,"999 Upper Wentworth St, Hamilton, ON L9A 4X5, Canada",ChIJk3sv2E-aLIgR0aQZeXD_8nM,"999 Upper Wentworth Street, Hamilton, Ontario",43.2176908,-79.8623026,1,L9A 4X5,OK,street_address
108,GEOMETRIC_CENTER,"Long Beach Blvd, New Jersey 08008, USA",ChIJOfae1HemwYkR-Y4LKXE_qlI,"Long Beach Blvd. & Willow St, Long Beach, California",39.65362349999999,-74.1726159,2,08008,OK,route
109,GEOMETRIC_CENTER,"Nocatee Pkwy, Florida, USA",ChIJO0W5dnsx5IgRe3JMH16vZpQ,"Nocatee Parkway & Crosswater Pkwy, Ponte Vedra Beach, Florida",30.1130364,-81.44066099999999,1,,OK,route
110,ROOFTOP,"20626 Easthampton Plaza, Ashburn, VA 20147, USA",ChIJqaIkFFk5tokRpYHpKj1w2Io,"One Loudoun, Ashburn, Virginia",39.0512977,-77.45426189999999,1,20147,OK,"establishment,point_of_interest,shopping_mall"
111,APPROXIMATE,"Scottsdale, AZ, USA",ChIJlyx3p9kIK4cRGOaPGBLk0iY,"Scottsdale & Chauncey, Scottsdale, Scottsdale, Arizona",33.4941704,-111.9260519,1,,OK,"locality,political"
112,APPROXIMATE,"Riverside, CA, USA",ChIJu330f9-m3IAR6ApeEwXXofc,"Riverside & San Bernardino, Rialto, California",33.9533487,-117.3961564,1,,OK,"locality,political"
113,GEOMETRIC_CENTER,"Lorain Rd, Ohio, USA",ChIJYTIlK4mTMIgRugszCTBwdfE,"North Olmsted, Lorain Road, North Olmsted, Ohio",41.415557,-81.92383079999999,1,,OK,route
